scenario,seed,comparison_method,scenario_fingerprint,proposed_minus_method_total_decision_latency_ms,proposed_minus_method_coordination_latency_ms,proposed_minus_method_qos_satisfied,proposed_minus_method_infeasible,proposed_minus_method_changed_rules,proposed_minus_method_control_bytes
application_capacity:pressure=0.8,13,no_verification,fa9bbf49b5db45b95357d972d7b277ebb0210d97b15b06a76833783602b8cc5a,4.209950566291809,4.260636866092682,0,0,0,0
application_capacity:pressure=0.8,14,independent,cb79e75afe4b5fbd7da6a44d0f034b41b2e93531ac202987cf94e1f3d842fc59,4.678525030612946,4.737637937068939,0,0,0,0
application_capacity:pressure=0.8,14,adjacent,cb79e75afe4b5fbd7da6a44d0f034b41b2e93531ac202987cf94e1f3d842fc59,4.521731287240982,4.554998129606247,0,0,0,0
application_capacity:pressure=0.8,14,no_verification,cb79e75afe4b5fbd7da6a44d0f034b41b2e93531ac202987cf94e1f3d842fc59,4.085615277290344,4.214245826005936,0,0,0,0
application_capacity:pressure=0.8,15,independent,84a114ad1d277acd88492da4899365cd8b6c27d721139bae4c199a577ea471bf,4.7505199909210205,4.79501485824585,0,0,0,0
application_capacity:pressure=0.8,15,adjacent,84a114ad1d277acd88492da4899365cd8b6c27d721139bae4c199a577ea471bf,4.408266395330429,4.61236760020256,0,0,0,0
application_capacity:pressure=0.8,15,no_verification,84a114ad1d277acd88492da4899365cd8b6c27d721139bae4c199a577ea471bf,4.242192953824997,4.267003387212753,0,0,0,0
application_capacity:pressure=0.8,16,independent,4d8310e73f45062b8c8e740d27ec16914d6c8047cd43927c7ba6a39e3bec0d78,4.586286842823029,4.820331931114197,0,0,0,0
application_capacity:pressure=0.8,16,adjacent,4d8310e73f45062b8c8e740d27ec16914d6c8047cd43927c7ba6a39e3bec0d78,4.606530070304871,4.639618098735809,0,0,0,0
application_capacity:pressure=0.8,16,no_verification,4d8310e73f45062b8c8e740d27ec16914d6c8047cd43927c7ba6a39e3bec0d78,4.297308623790741,4.30496409535408,0,0,0,0
application_capacity:pressure=0.8,17,independent,4ecef79eeaf6e8edf692a9ebd71c9623fb4e5d19de16244cd14cfaa48b79882a,4.794642329216003,4.828605800867081,0,0,0,0
application_capacity:pressure=0.8,17,adjacent,4ecef79eeaf6e8edf692a9ebd71c9623fb4e5d19de16244cd14cfaa48b79882a,4.567723721265793,4.64363768696785,0,0,0,0
application_capacity:pressure=0.8,17,no_verification,4ecef79eeaf6e8edf692a9ebd71c9623fb4e5d19de16244cd14cfaa48b79882a,4.235673695802689,4.312507808208466,0,0,0,0
application_capacity:pressure=0.8,18,independent,0297b72e1de5382fa2a20df28b9f5037826ce379f142bc1824c54a7a369887f3,4.783622920513153,4.777595400810242,0,0,0,0
application_capacity:pressure=0.8,18,adjacent,0297b72e1de5382fa2a20df28b9f5037826ce379f142bc1824c54a7a369887f3,4.367250949144363,4.593376070261002,0,0,0,0
application_capacity:pressure=0.8,18,no_verification,0297b72e1de5382fa2a20df28b9f5037826ce379f142bc1824c54a7a369887f3,4.2289309203624725,4.262823611497879,0,0,0,0
application_capacity:pressure=0.8,19,independent,cbeacd42f74a3903c89eef1287caa4c7d120c9d75436c4dadd502638c837e7a5,-15.94499871134758,4.796769469976425,0,0,0,0
application_capacity:pressure=0.8,19,adjacent,cbeacd42f74a3903c89eef1287caa4c7d120c9d75436c4dadd502638c837e7a5,4.410732537508011,4.6065375208854675,0,0,0,0
application_capacity:pressure=0.8,19,no_verification,cbeacd42f74a3903c89eef1287caa4c7d120c9d75436c4dadd502638c837e7a5,4.122134298086166,4.274621605873108,0,0,0,0
application_capacity:pressure=0.8,20,independent,0d22f48d22552829dffb56c9708d49949b1a4703c6ae0ff539eca2bedfd4efc9,4.962511360645294,4.992373287677765,0,0,0,0
